soln,cell,cell_plot,dist_x,time,step,pH,pe,temp(C),charge(eq),pct_err,Na(mol/kgw),Cl(mol/kgw),K(mol/kgw),P(mol/kgw),Cu(mol/kgw),Fe(mol/kgw),S(mol/kgw),Au(mol/kgw),P(5)(mol/kgw),Cu(1)(mol/kgw),Cu(2)(mol/kgw),Fe(2)(mol/kgw),Fe(3)(mol/kgw),S(-2)(mol/kgw),S(6)(mol/kgw),Au(1)(mol/kgw),Au(3)(mol/kgw),m_Fe+2(mol/kgw),m_Fe+3(mol/kgw),m_FeOH+(mol/kgw),m_FeOH+2(mol/kgw),m_FeCl+(mol/kgw),m_FeCl+2(mol/kgw),m_FeCl2(mol/kgw),m_FeCl2+(mol/kgw),m_Fe(OH)4-(mol/kgw),la_SO4-2,la_Cu(HS)2-,la_Au(HS)2-,la_AuHS,la_H+,la_OH-,la_HS-,la_H2S,la_Au(OH)2-,la_Au+,la_Au+3,la_AuCl,la_AuCl2-,la_AuCl3-2,la_AuCl4-,la_AuOH,la_Cu2S(HS)2-2,la_CuCl+,la_CuCl2,la_CuCl2-,la_CuCl3-,la_CuCl3-2,la_CuCl4-2,la_CuHS,la_CuCl,la_CuOH,la_CuOH+,la_S-2,Magnetite,d_Magnetite,Chalcocite(alpha),d_Chalcocite(alpha),Chalcopyrite(alpha),d_Chalcopyrite(alpha),Bornite(alpha),d_Bornite(alpha),Au(element),d_Au(element),Pyrite,d_Pyrite,Cu(element),d_Cu(element),si_Hematite,si_Magnetite,si_Chalcocite(alpha),si_Pyrite,si_Chalcopyrite(alpha),si_Bornite(alpha),si_Cu(element),si_Au(element),k_Hematite_PK,dk_Hematite_PK,stage,u_step,time_days,pH_user,logaHS-,logaH2S,SR_Hematite,HematitePK_m,HematitePK_m_pct,Pyrite_pct,Chalcopyrite(alpha)_pct,Bornite(alpha)_pct,Magnetite_pct,Chalcocite(alpha)_pct,Au(element)_pct,Cu(element)_pct
0,0,0,-99.0,-99.0,-99,8.0,0.0,240.0,4.1215260387674704e-13,2.7112678587250995e-09,1.0500000001924736,0.8261364205125726,0.0010000000000618655,0.10000000004483608,0.000650000001004161,0.0003000000002307268,0.024000000006523685,0.00010000000000000399,0.10000000004483608,0.000650000001004161,0.0,0.0,0.0003000000002307268,0.024000000006523685,0.0,0.0,0.00010000000000000399,0.0,8.331807480117155e-24,0.0,3.153776681591014e-16,0.0,1.958980888707912e-20,0.0,3.702981611920609e-22,0.0002989375250093388,-999.999,-3.8687789723168415,-999.999,-999.999,-8.0,-3.222526380279133,-2.01976010077903,-3.072025431894542,-999.999,-999.999,-6.0212352471243,-999.999,-999.999,-999.999,-31.606429361011585,-999.999,-8.358137042623738,-999.999,-999.999,-6.571927583217216,-999.999,-8.989098106053033,-999.999,-3.4691537594138038,-8.499517911961764,-7.367808324643685,-999.999,-7.050710533297009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.104556553226677,-999.999,3.119190000973198,-999.999,-999.999,-999.999,-999.999,40.149088829275236,0.0,0.0,1.0,0.0,0.0,8.0,-2.01976010077903,-3.072025431894542,127220340.38672765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,-99.0,-99.0,-99,8.0,0.0,240.0,-1.6717748672488882e-14,-1.0463711298552635e-09,0.09999999999999996,0.09881071595005232,1.0000000000024542e-10,0.0,5.000000049723032e-05,9.999999999999467e-06,0.0,0.0,0.0,0.0,5.000000049723032e-05,0.0,9.999999999999467e-06,0.0,0.0,0.0,0.0,0.0,8.96393223474862e-26,0.0,4.9191653728722454e-18,0.0,5.448548879873691e-23,0.0,3.8748739637243803e-25,9.952288151847237e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.209727248982809,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.202144303123113,-8.67052242495973,-999.999,-10.237271306275282,-999.999,-12.955378333306188,-999.999,-999.999,-999.999,-7.129170507684355,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.396561441186786,-999.999,-999.999,-999.999,-999.999,-999.999,-4.1494611220073505,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,249207.69093100238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,-99.0,-99.0,-99,8.0,0.0,240.0,-7.674118502123961e-19,-6.173653656671307e-14,0.07780676012152148,0.07669543763773362,7.780676012152151e-11,0.0,3.890338006076055e-05,7.780676012152191e-06,0.0,0.0,0.0,0.0,3.890338006076055e-05,0.0,7.780676012152191e-06,0.0,0.0,0.0,0.0,0.0,6.047625238038632e-26,0.0,3.52694509989904e-18,0.0,3.1639436320086367e-23,0.0,1.9804096530987802e-25,7.742139362959066e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.209398748619194,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.387972323879492,-8.947581335699184,-999.999,-10.605561106997811,-999.999,-13.41489902401179,-999.999,-999.999,-999.999,-7.223439138094045,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21074519734086,-999.999,-999.999,-999.999,-999.999,-999.999,-4.244058252780654,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,162459.53182059329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,-99.0,-99.0,-99,8.0,0.0,240.0,-7.437084802164318e-16,-7.452468103226839e-11,0.062467453182377806,0.061415220100471034,6.246745318238805e-11,0.0,3.123372659118898e-05,6.2467453182378165e-06,0.0,0.0,0.0,0.0,3.123372659118898e-05,0.0,6.2467453182378165e-06,0.0,0.0,0.0,0.0,0.0,4.2824087629719087e-26,0.0,2.640379007061842e-18,0.0,1.9649887605381428e-23,0.0,1.0955146220183156e-25,6.2148166892315865e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2091718496810624,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.552180136726276,-9.192698488214084,-999.999,-10.931587599180828,-999.999,-13.821834855862926,-999.999,-999.999,-999.999,-7.306510712334582,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0471446038654495,-999.999,-999.999,-999.999,-999.999,-999.999,-4.327356725959323,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,111466.5613888293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,-99.0,-99.0,-99,8.0,0.0,240.0,-7.690991398433267e-15,-9.489904689881624e-10,0.05073298939556503,0.049729939635694234,5.0732989395659333e-11,0.0,2.5366494697782522e-05,5.0732989395565e-06,0.0,0.0,0.0,0.0,2.5366494697782522e-05,0.0,5.0732989395565e-06,0.0,0.0,0.0,0.0,0.0,3.0879747723781877e-26,0.0,2.0103381440149237e-18,0.0,1.2505800820148022e-23,0.0,6.222885640904394e-26,5.04661582020335e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2089983575251115,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.709300949797798,-9.427497214222747,-999.999,-11.244064238126635,-999.999,-14.211989407745873,-999.999,-999.999,-999.999,-7.385780120313008,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8910958029089455,-999.999,-999.999,-999.999,-999.999,-999.999,-4.406799626093701,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,77820.82004388073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,-99.0,-99.0,-99,8.0,0.0,240.0,-1.7252443556750726e-13,-2.6197105523103037e-08,0.041227372006638736,0.04026759087013494,4.122737200848769e-11,0.0,2.0613686003319967e-05,4.122737200663829e-06,0.0,0.0,0.0,0.0,2.0613686003319967e-05,0.0,4.122737200663829e-06,0.0,0.0,0.0,0.0,0.0,2.2303898917951563e-26,0.0,1.5347743536099078e-18,0.0,7.966048826673781e-24,0.0,3.52370375763146e-26,4.100455416122257e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2088578724515338,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.867554747142588,-9.664254490295372,-999.999,-11.559324992927092,-999.999,-14.605753641274163,-999.999,-999.999,-999.999,-7.465389953856391,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734393198263734,-999.999,-999.999,-999.999,-999.999,-999.999,-4.48654994471066,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,54249.18252873775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,-99.0,-99.0,-99,8.0,0.0,240.0,-2.600391148070702e-19,-4.897974047012136e-14,0.03323755933226253,0.032317352586029316,3.32375593322626e-11,0.0,1.6618779666131257e-05,3.3237559332262865e-06,0.0,0.0,0.0,0.0,1.6618779666131257e-05,0.0,3.3237559332262865e-06,0.0,0.0,0.0,0.0,0.0,1.5933494209601284e-26,0.0,1.1622958676891218e-18,0.0,4.985490782980419e-24,0.0,1.9417830628809396e-26,3.305304451461491e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.208739827548955,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.033639920947074,-9.913028825858564,-999.999,-11.890788490248992,-999.999,-15.01990630035477,-999.999,-999.999,-999.999,-7.548667920999591,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5704483919879575,-999.999,-999.999,-999.999,-999.999,-999.999,-4.569945956756438,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,37191.90227144108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,-99.0,-99.0,-99,8.0,0.0,240.0,-1.8411955174466726e-17,-4.375344887925504e-12,0.0263459529820343,0.025463093882771154,2.6345952982034488e-11,0.0,1.3172976491017137e-05,2.6345952982034394e-06,0.0,0.0,0.0,0.0,1.3172976491017137e-05,0.0,2.6345952982034394e-06,0.0,0.0,0.0,0.0,0.0,1.1112743327549174e-26,0.0,8.636296249426462e-19,0.0,3.0059904934445578e-24,0.0,1.0143192809866691e-26,2.619566590750044e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.20863803623679,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.214914554362846,-10.18493282055344,-999.999,-12.25332184622297,-999.999,-15.473069017607852,-999.999,-999.999,-999.999,-7.639211401824095,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.392137926888688,-999.999,-999.999,-999.999,-999.999,-999.999,-4.660591228893107,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,24668.22647094883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,-99.0,-99.0,-99,8.0,0.0,240.0,-2.5354406616752423e-15,-7.825042746534401e-10,0.020286814416045483,0.01944023568256282,2.028681441606204e-11,0.0,1.0143407208022763e-05,2.0286814416045508e-06,0.0,0.0,0.0,0.0,1.0143407208022763e-05,0.0,2.0286814416045508e-06,0.0,0.0,0.0,0.0,0.0,7.43987319400901e-27,0.0,6.207215156176604e-19,0.0,1.700643624305925e-24,0.0,4.843095763676532e-27,2.0167756028199064e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2085485627971813,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.421575833371866,-10.495448181483297,-999.999,-12.667691289073662,-999.999,-15.991292542379382,-999.999,-999.999,-999.999,-7.741929125472668,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189735942305428,-999.999,-999.999,-999.999,-999.999,-999.999,-4.76339842598129,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,15478.752009212023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,9,-99.0,-99.0,-99,8.0,0.0,240.0,-5.298387512016117e-14,-2.2294393133435066e-08,0.014880530847477973,0.014070308252591177,1.488053084775259e-11,0.0,7.440265423738951e-06,1.4880530847477965e-06,0.0,0.0,0.0,0.0,7.440265423738951e-06,0.0,1.4880530847477965e-06,0.0,0.0,0.0,0.0,0.0,4.6547752878615046e-27,0.0,4.218783229995927e-19,0.0,8.644641148407166e-25,0.0,1.9885509671625977e-27,1.4790474000553243e-06,-999.999,-999.999,-999.999,-999.999,-8.0,-3.208468747773677,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.670724422747497,-10.87067371300305,-999.999,-13.16899376273754,-999.999,-16.618671958187385,-999.999,-999.999,-999.999,-7.86492095768067,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.947180932975715,-999.999,-999.999,-999.999,-999.999,-999.999,-4.886470073212797,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,8854.84437831351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,10,-99.0,-99.0,-99,8.0,0.0,240.0,-1.888217958590432e-14,-1.1823601111507972e-08,0.010000000000000002,0.00922770277527793,1.0000000000071646e-11,0.0,5.000000000000002e-06,9.999999999999883e-07,0.0,0.0,0.0,0.0,5.000000000000002e-06,0.0,9.999999999999883e-07,0.0,0.0,0.0,0.0,0.0,2.584090507096906e-27,0.0,2.594176391417904e-19,0.0,3.61726499468722e-25,0.0,6.192572104710789e-28,9.937330232967056e-07,-999.999,-999.999,-999.999,-999.999,-8.0,-3.2083967097283934,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.99742711453428,-11.364483302617025,-999.999,-13.829910250178704,-999.999,-17.446695343455737,-999.999,-999.999,-999.999,-8.024444713594981,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6322040627352274,-999.999,-999.999,-999.999,-999.999,-999.999,-5.046065867172391,-999.999,0.0,0.0,1.0,0.0,0.0,8.0,-99.99,-99.99,4287.499305821002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,-99.0,1.0,1,8.009501176547522,-7.352693063956635,240.0,4.1214537807690203e-13,2.7122789266061078e-09,1.049983009497947,0.8261230522920422,0.0009999838184480316,0.09999838188345177,3.116220947519513e-06,4.151843574584683e-12,0.023226175294722064,2.6823371586848228e-06,0.0999983817436735,3.116220947517859e-06,1.6537943391168123e-18,2.818764370552334e-12,1.3330792040323493e-12,0.023164368307921242,6.177728539779642e-05,2.6823371586848228e-06,0.0,2.435916457646107e-15,3.3914058114504554e-32,1.7272744664914122e-13,1.3122027479746404e-24,1.1825384666790205e-13,7.975085332876692e-29,8.896333875381998e-16,1.5079377699093098e-30,1.328459633549551e-12,-6.330254522312817,-6.186612477964924,-5.934046684479678,-7.7475623833503775,-8.009501176547522,-3.213018964564062,-2.017247070287852,-3.079013577950896,-14.55096146294608,-22.048303519290855,-68.22840326826939,-16.301877728054386,-15.617668504735427,-16.41144317238034,-93.8134271818036,-9.431787702589926,-12.986815907862217,-22.09117149312876,-20.823496363211078,-8.894702049671155,-21.654191992772443,-11.311830022418661,-23.636245768049385,-5.789500295553175,-10.822334928504013,-9.681160475559174,-20.757542665025404,-7.038696326258197,0.0,0.0,0.0,0.0,1.7062792338563486e-06,1.7062792338563486e-06,6.93758120515663e-07,6.93758120515663e-07,7.785409554886061e-07,7.785409554886061e-07,0.0,0.0,0.0,0.0,-8.618869879023661,-12.301555004169497,-1.5145149252489816,-3.449534916299136,-1.9999999999999716,-1.0,-3.06915543585394,0.0,4.999813071292655e-07,-1.8692870734453903e-11,1.0,1.0,1.1574074074074073e-05,8.009501176547522,-2.017247070287852,-3.079013577950896,2.405083290183876e-09,4.999813071292655e-07,13.591768496017838,0.0,46.384438788913094,18.859504609126223,0.0,0.0,21.164288105942834,0.0
1,1,1,0.0005,0.0,0,8.003959921141725,1.6600650390258032,240.0,-1.6718036663690948e-14,-1.0464032523063192e-09,0.10000000829020006,0.09881072414165841,1.0000000829044562e-10,0.0,5.000000464233233e-05,1.0000000829019386e-05,0.0,0.0,0.0,9.226207114262712e-06,4.0773797528069624e-05,2.522347516984795e-14,1.000000080379591e-05,0.0,0.0,0.0,0.0,9.008972992831696e-18,8.64320298695991e-26,1.253184295129345e-15,4.786618332738113e-18,1.5493337487414027e-16,5.253385963361046e-23,2.920912298527842e-19,3.735931688724004e-25,9.95272008390918e-06,-999.999,-999.999,-999.999,-999.999,-8.003959921141725,-3.20576737835518,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.302151398103051,-8.77054856821836,-5.854512357660651,-10.337316497812605,-9.007712630441262,-13.055442573122203,-999.999,-7.04607293646063,-5.1615745972742015,-7.22519868375797,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3886814072775255,-0.3038413431017002,-999.999,-999.999,-999.999,-999.999,-7.5695792467602026,-999.999,4.999813071292655e-07,0.0,1.0,0.0,0.0,8.003959921141725,-99.99,-99.99,244726.73000673024,4.999813071292655e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,0.0015,0.0,0,8.003058910315607,1.6328998137970616,240.0,-3.1001405869507392e-19,-2.494019515959773e-14,0.07780676515917395,0.07669544260343271,7.7806765159174e-11,0.0,3.890338257958916e-05,7.780676515917374e-06,0.0,0.0,0.0,7.206336106993032e-06,3.169704647259613e-05,2.163550236462855e-14,7.780676494281871e-06,0.0,0.0,0.0,0.0,6.961333849103177e-18,5.879791193059736e-26,1.0451224460206985e-15,3.453311504214374e-18,1.0486837419292999e-16,3.0760513950053584e-23,1.6612408142797182e-19,1.925342834853184e-25,7.742409055563596e-06,-999.999,-999.999,-999.999,-999.999,-8.003058910315607,-3.206339883052195,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.485746791168252,-9.04536914350636,-6.102167707719908,-10.703362255323402,-9.346593162723318,-13.512713512855797,-999.999,-7.202503104297088,-5.22735208758488,-7.3181413992973905,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.204659289618235,-0.5519725366003296,-999.999,-999.999,-999.999,-999.999,-7.607619007145123,-999.999,5e-07,0.0,1.0,0.0,0.0,8.003058910315607,-99.99,-99.99,160198.81144400832,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,0.0025,0.0,0,8.002493674588779,1.6107211537106245,240.0,-7.443115676748768e-16,-7.458579469338575e-11,0.062467456488709154,0.061415223351108904,6.24674564887192e-11,0.0,3.123372824435693e-05,6.246745648870894e-06,0.0,0.0,0.0,5.8916872486804616e-06,2.534204099567647e-05,1.881758028801713e-14,6.246745630053314e-06,0.0,0.0,0.0,0.0,5.53108171680275e-18,4.1852757159904193e-26,8.870494705427438e-16,2.5953556411833266e-18,7.393633088643032e-17,1.9203810131016238e-23,1.0021153672293952e-19,1.0706243954397352e-25,6.214998918980325e-06,-999.999,-999.999,-999.999,-999.999,-8.002493674588779,-3.206678214551808,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.650130841509151,-9.290658831486757,-6.325278735613868,-11.029557580943301,-9.65060982825678,-13.919814476115196,-999.999,-7.34470849455155,-5.288990171699455,-7.401958143498402,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.042184077208454,-0.773054911515354,-999.999,-999.999,-999.999,-999.999,-7.6467400996736465,-999.999,5e-07,0.0,1.0,0.0,0.0,8.002493674588779,-99.99,-99.99,110200.62997235186,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,0.0035,0.0,0,8.002087342067897,1.5907412940161112,240.0,-7.690834697338025e-15,-9.48978607975388e-10,0.05073299163489476,0.049729941830749816,5.0732991634989e-11,0.0,2.5366495817448876e-05,5.0732991634895e-06,0.0,0.0,0.0,4.9137872426399516e-06,2.045270857480892e-05,1.642571031063685e-14,5.073299147063791e-06,0.0,0.0,0.0,0.0,4.438626776750024e-18,3.029239069645986e-26,7.56916324781572e-16,1.981605189558664e-18,5.278560137212704e-17,1.2267758126952993e-23,6.150151518806698e-20,6.104351972549e-26,5.046743324445854e-06,-999.999,-999.999,-999.999,-999.999,-8.002087342067897,-3.206911050077984,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.80880298249585,-9.527006260021405,-6.541646304454003,-11.3435802970259,-9.944652684644863,-14.311512479745742,-999.999,-7.4834007758437355,-5.350240000969866,-7.483187832463328,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.886944190766547,-0.9856152974601677,-999.999,-999.999,-999.999,-999.999,-7.68777723372337,-999.999,5e-07,0.0,1.0,0.0,0.0,8.002087342067897,-99.99,-99.99,77080.44100866966,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,0.0045000000000000005,0.0,0,8.001768931871432,1.5715452878655474,240.0,-1.7252431698289465e-13,-2.6197267836185693e-08,0.04122737353472636,0.040267592362648374,4.122737353657534e-11,0.0,2.0613686767364536e-05,4.122737353472484e-06,0.0,0.0,0.0,4.126593814846182e-06,1.6487092952518353e-05,1.430124392693469e-14,4.12273733917124e-06,0.0,0.0,0.0,0.0,3.561346986579246e-18,2.194386154828563e-26,6.446926004504597e-16,1.5161651462100646e-18,3.7540208286968115e-17,7.837381244330897e-24,3.7479074573917206e-20,3.4667556721420576e-26,4.100545657520507e-06,-999.999,-999.999,-999.999,-999.999,-8.001768931871432,-3.207088970719443,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-9.969638045718286,-9.766342853271796,-6.7617868915538315,-11.66141842030424,-10.243294801772642,-14.707852133052041,-999.999,-7.625039832915608,-5.413555448655245,-7.56569928629927,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.730875392837483,-1.200274322784237,-999.999,-999.999,-999.999,-999.999,-7.731718754616725,-999.999,5e-07,0.0,1.0,0.0,0.0,8.001768931871432,-99.99,-99.99,53811.536506029464,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,0.0055000000000000005,0.0,0,8.001502960903819,1.5521401826991341,240.0,-3.7947076036992655e-19,-7.147575296381611e-14,0.033237560364465374,0.03231735358965486,3.323756036446536e-11,0.0,1.661878018223288e-05,3.3237560364465473e-06,0.0,0.0,0.0,3.457838031683466e-06,1.3160942150549413e-05,1.2354014981090624e-14,3.323756024092533e-06,0.0,0.0,0.0,0.0,2.8340412865001985e-18,1.571470271098556e-26,5.448188912186772e-16,1.150311571685122e-18,2.623350934274785e-17,4.916999840394851e-24,2.2219368718540374e-20,1.915094294556745e-26,3.305367947020682e-06,-999.999,-999.999,-999.999,-999.999,-8.001502960903819,-3.2072368925750654,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.139255671855878,-10.018648160169914,-6.994687093285535,-11.996411407962887,-10.558882684264876,-15.125532801471213,-999.999,-7.775252353886787,-5.481228210721518,-7.652777153531956,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.567459941218555,-1.4257854486345902,-999.999,-999.999,-999.999,-999.999,-7.779838489660964,-999.999,5e-07,0.0,1.0,0.0,0.0,8.001502960903819,-99.99,-99.99,36936.85726904016,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,0.006500000000000001,0.0,0,8.001268862711793,1.531587003540725,240.0,-1.8486494073825105e-17,-4.3930811665078936e-12,0.026345953660164328,0.02546309453817689,2.6345953660164437e-11,0.0,1.317297683008241e-05,2.634595366016418e-06,0.0,0.0,0.0,2.8662046157791764e-06,1.0306772214303235e-05,1.0524298037550587e-14,2.6345953554921197e-06,0.0,0.0,0.0,0.0,2.2177579251039586e-18,1.0983782091875457e-26,4.537754509746593e-16,8.561061685378153e-19,1.773982403855853e-17,2.9710941147238108e-24,1.2521482086292186e-20,1.0025399180340214e-26,2.6196102519954648e-06,-999.999,-999.999,-999.999,-999.999,-8.001268862711793,-3.2073691954459056,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.325104286245512,-10.295125000202775,-7.250610754159989,-12.363516473638974,-10.905434570782553,-15.583266092790526,-999.999,-7.940547789118012,-5.556027723180358,-7.748129845149205,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.389615323532457,-1.6718159954738976,-999.999,-999.999,-999.999,-999.999,-7.833952520090554,-999.999,5e-07,0.0,1.0,0.0,0.0,8.001268862711793,-99.99,-99.99,24525.356191681738,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,0.007500000000000001,0.0,0,8.001053076978373,1.50872164691119,240.0,-2.535436426510506e-15,-7.825065201654553e-10,0.020286814839603057,0.01944023608844513,2.0286814839619588e-11,0.0,1.0143407419801664e-05,2.0286814839603312e-06,0.0,0.0,0.0,2.325126714454648e-06,7.818280705347018e-06,8.766207886295025e-15,2.0286814751941234e-06,0.0,0.0,0.0,0.0,1.6873172747844598e-18,7.368149569941378e-27,3.69061422315625e-16,6.16230652634788e-19,1.1362661151292204e-17,1.6842446399399806e-24,6.491446421947697e-21,4.796382951516294e-27,2.0168043074640618e-06,-999.999,-999.999,-999.999,-999.999,-8.001053076978373,-3.207495503866448,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-10.537655693444563,-10.611529621957114,-7.544150019284792,-12.783774309948603,-11.302827050462648,-16.10737714365544,-999.999,-8.130233839687527,-5.641986867615129,-7.85695434621351,-999.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.187642666851788,-1.9517385767883848,-999.999,-999.999,-999.999,-999.999,-7.896919999475246,-999.999,5e-07,0.0,1.0,0.0,0.0,8.001053076978373,-99.99,-99.99,15404.324789739154,5e-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
